"CUSTOMER_ID","ACQUISITION_TYPE","REFERENCE_ID","PHONE_NUMBER","CUSTOMER_GENDER","DATE_OF_BIRTH","FIRST_NAME","LAST_NAME","CUSTOMER_EMAIL","POST_CODE","HOUSE_NUMBER","AD_ID"
"C68","Paid","","2025559506","Male","2005-11-11"," Christina","Cartahena Jr","christina_cartahenajr@gmail.com","CT12 5JL","44","AD1020"
"C69","Organic","","6780133215","Male","1989-05-29"," Andrew","Flores","andrew_flores@gmail.com","YO25 3PD","35",""
"C70","Organic","","4386008923","Female","1992-09-04"," Muthanna","el-Kamara","muthanna_el-kamara@hotmail.com","HA5 3RF","14",""
"C71","Organic","","5075226231","Female","1998-07-25"," Sean","Berry","sean_berry@hotmail.com","RG45 6TS","27",""
"C72","Organic","","5460891955","Male","1984-02-26"," Christopher","Rowe","christopher_rowe@gmail.com","HP6 6XJ","36",""
"C73","Organic","","4013998207","Female","2006-12-20"," Rayden","Shepard","rayden_shepard@yahoo.com","CH2 1HH","7",""
"C74","Paid","","6924626733","Male","1988-03-18"," Aaron","Fulmer","aaron_fulmer@yahoo.com","NR11 8SJ","1","AD1046"
"C75","Organic","","8052784540","Male","1998-01-24"," Dakota","Brutus","dakota_brutus@gmail.com","SY20 8UB","36",""
"C76","Paid","","8857755843","Male","1982-05-07"," Crystal","Bailey","crystal_bailey@yahoo.com","OX18 1TT","30","AD1005"
"C77","Paid","","9636408844","Male","1999-02-19"," Sean","Berry","sean_berry@hotmail.com","NP11 5AH","3","AD1012"
"C78","Paid","","2004301372","Female","1996-09-13"," Orlando","Schlup","orlando_schlup@hotmail.com","BA7 7QA","24","AD1030"
"C79","Organic","","9362701251","Male","1995-07-03"," Shyanne","Renz","shyanne_renz@gmail.com","SN15 4BP","39",""
"C80","Paid","","5265180448","Male","1998-09-16"," Tyrone","Hord Sherrer","tyrone_hordsherrer@outlook.com","TF9 3HL","47","AD1006"
"C81","Paid","","3893594035","Female","1988-02-22"," Rayden","Shepard","rayden_shepard@outlook.com","PO30 5NG","14","AD1047"
"C82","Referral","C81","6452985028","Female","1994-09-05"," Daniel","Vongvichith","daniel_vongvichith@gmail.com","SA2 0PB","29",""
"C83","Organic","","5110058768","Female","2002-04-21"," Alex","Mcgowan","alex_mcgowan@outlook.com","IG8 7PJ","2",""
"C84","Organic","","1640789739","Female","1984-08-31"," Ethan","Martin","ethan_martin@yahoo.com","SA2 8EB","49",""
"C85","Organic","","3862083722","Female","1988-12-27"," Tiara","King","tiara_king@outlook.com","WA5 1LX","46",""
"C86","Paid","","6711714516","Female","1983-12-10"," Morgan","Strohl","morgan_strohl@hotmail.com","SP4 7PF","3","AD1014"
"C87","Paid","","6127032505","Female","1981-05-11"," Abigail","Perez-Schipper","abigail_perez-schipper@outlook.com","NN3 8DW","2","AD1037"
"C88","Organic","","4276066928","Female","2000-09-05"," Josef","Nguyen","josef_nguyen@outlook.com","AB33 8BX","27",""
"C89","Organic","","4324930948","Male","1999-02-09"," Nabeeh","al-Noorani","nabeeh_al-noorani@hotmail.com","HA8 5LF","26",""
"C90","Organic","","8295239054","Male","1992-10-08"," Sameeha","el-Abu","sameeha_el-abu@hotmail.com","DA17 5RT","16",""
"C91","Organic","","9569906983","Male","1998-07-23"," Awad","al-Salik","awad_al-salik@gmail.com","RG40 1LR","40",""
"C92","Organic","","9713742780","Female","1992-02-26"," Devante","Freeman","devante_freeman@hotmail.com","W12 7HW","8",""
"C93","Referral","C85","4279984834","Female","2003-07-17"," Raymond","Keegan","raymond_keegan@gmail.com","OL3 6AN","28",""
"C94","Organic","","4817664682","Male","1993-12-11"," Darius","Douglas","darius_douglas@outlook.com","BH19 2QG","2",""
"C95","Organic","","3962747592","Female","1990-11-15"," Kelsie","Nelson","kelsie_nelson@yahoo.com","PE12 0FW","18",""
"C96","Organic","","1815102840","Female","2006-11-29"," Ethan","Martin","ethan_martin@outlook.com","FY7 8DY","7",""
"C97","Paid","","5085149858","Female","2001-02-20"," Raaid","al-Din","raaid_al-din@gmail.com","UB6 9NH","47","AD1005"
"C98","Paid","","2377969356","Male","1997-07-26"," Karesha","Brown","karesha_brown@outlook.com","DD1 9FU","31","AD1040"
"C99","Referral","C95","4830425530","Male","1983-05-03"," Josef","Nguyen","josef_nguyen@yahoo.com","S73 8AE","20",""
"C100","Organic","","5653025260","Female","2001-01-02"," Yvette","Coria","yvette_coria@yahoo.com","WA4 4FX","47",""
